Votes,Rank,Title
5999,8.3,Athadu (2005)
3563,8.5,Sairat (2016)
6097,8.5,Thani Oruvan (2015)
1206,8.1,Nuvvu Naaku Nachchav (2001)
994,8.4,Dipu Number 2 (1996)
1005,8.3,In Harihar Nagar (1990)
1635,8.3,Devasuram (1993)
840,8.3,Belaseshe (2015)
4542,8,Okkadu (2003)
1307,8.1,Shala (2011)
3919,8.2,Soodhu Kavvum (2013)
4027,8.2,Ustad Hotel (2012)
1152,8.1,Balak Palak (2012)
1098,7.9,Manmadhudu (2002)
1541,8.2,Mahanadi (1993)
683198,8.7,One Flew Over the Cuckoo's Nest (1975)
1342,8.1,Spadikam (1995)
1103,7.9,Gitanjali (1989)
1175,8.1,Yodha (1992)
733,8.1,Namukku Parkkan Munthiri Thoppukal (1986)
3098,8.1,Mudhalvan (1999)
1372,8.1,Guerrilla (2011)
5221,8.1,Indian (1996)
277092,8.6,It's a Wonderful Life (1946)
2002,8.1,Television (2012)
1394,8,Thanmathra (2005)
729827,8.5,L‚on (1994)
1135,7.9,Maheshinte Prathikaaram (2016)
1024,7.9,Left Right Left (2013)
992,7.8,Kanche (2015)
751,7.9,Pattana Pravesham (1988)
2583,7.7,Murari (2001)
1994,7.9,Traffic (2011)
1207,7.7,Bale Bale Magadivoy (2015)
2234,7.9,Mumbai Police (2013)
646,8,Kanchenjungha (1962)
9682,7.6,Magadheera (2009)
5006,7.6,Khaleja (2010)
954,7.6,Kumari 21F (2015)
1462,7.9,Sethu (1999)
1020,7.9,Amar Bondhu Rashed (2011)
2542,7.6,Chatrapathi (2005)
1047,7.8,Udayananu Tharam (2005)
736583,8.5,Back to the Future (1985)
518,7.9,Subarnarekha (1965)
526,7.8,Manjadikuru (2008)
1059,7.6,Tagore (2003)
551,7.8,Mannar Mathai Speaking (1995)
773,7.5,Oohalu Gusagusalade (2014)
648461,8.4,The Lion King (1994)
879,7.7,Schatten der Zeit (2004)
1754,7.8,Madras (2014)
1210,7.8,Ramana (2002/I)
1006,7.8,Anjathe (2008)
639,7.8,Pathinaru Vayathinile (1977)
1829,7.7,Amen (2013/I)
1177,7.7,Action Hero Biju (2016)
5804,7.5,Srimanthudu (2015)
613802,8.4,The Shining (1980)
139516,8.4,Hotaru no haka (1988)
807,7.7,Shutter (2012)
641,7.6,Mahapurush (1965)
738,7.4,Run Raja Run (2014)
223014,8.4,Mononoke-hime (1997)
1701,7.4,Simhadri (2003)
358405,8.4,Oldeuboi (2003)
299369,8.4,Citizen Kane (1941)
222181,8.4,Once Upon a Time in America (1984)
168980,8.3,Das Boot (1981)
221305,8.3,North by Northwest (1959)
700,7.2,"Khoj, the Search (2010)"
1332,7.6,Neelakasham Pachakadal Chuvanna Bhoomi (2013)
688,7.3,Aadavari Matalaku Ardhalu Verule (2007)
530,7.6,Beautiful (2011/II)
1024,7.6,North 24 Kaatham (2013)
1617,7.3,Darling (2010/I)
537064,8.3,Le fabuleux destin d'Am‚lie Poulain (2001)
721,7.6,Philips and the Monkey Pen (2013)
1799,7.3,Arundhati (2009)
558,7.3,Suryam (2004)
555,7.3,Prema Katha Chitram (2013)
193786,8.3,Lawrence of Arabia (1962)
1009,7.3,Shankar Dada MBBS (2004)
1308,7.5,22 Female Kottayam (2012)
798,7.3,Ready (2008/II)
517,7.6,Joker (2016)
488066,8.3,Full Metal Jacket (1987)
905,7.5,Bhramaram (2009)
1217,7.5,Salt n' Pepper (2011)
829,7.5,Pannaiyarum Padminiyum (2014)
528,7.5,Thanga Meengal (2013)
150816,8.3,Singin' in the Rain (1952)
587,7.5,Boeing Boeing (1985)
890756,8.3,Inglourious Basterds (2009)
67895,8.3,The Kid (1921)
3286,7.2,Temper (2015)
653,7.4,Picket 43 (2015)
2237,7.2,Brindaavanam (2010)
535,7.2,Pataas (2015)
109966,8.3,The Apartment (1960)
703,7.2,Sri Rama Rajyam (2011)
